Features,Importance Correlation ,,,,Features,Importance Random forest,,,Most important,,,12384.2,12434,34601,428505704.2,430228834,,,,,,,,,,,,,,,,,,
per_capita_exp_total_py,1,1,p_em_total,Primary care services ,readm_rate_1000,0.371162286,,,,,,9484.8,9594,11219,106409971.2,107635086,,,,,,,,,,,,,,,,,,
p_em_total,0.677051828,0.677051828,readm_rate_1000,Short term acute care readmissions (all-cause 30 day) ,p_em_total,0.202773092,,,,,,8879.5,8305,37174,330086533,308730070,,,,,,,,,,,,,,,,,,
readm_rate_1000,0.629912396,0.629912396,aco36,All-Cause Unplanned Admissions for Patients with Diabetes,aco7,0.085206977,,,,,,17275.7,18267,6850,118338545,125128950,,,,,,,,,,,,,,,,,,
aco36,0.507200286,0.507200286,p_em_pcp_vis,Primary care services with a PCP ,p_em_pcp_vis,0.059065799,,,,,,12672,12672,15603,197721216,197721216,,,,,,,,,,,,,,,,,,
p_em_pcp_vis,0.456459657,0.456459657,aco38,All-Cause Unplanned Admissions for Patients with Multiple Chronic Conditions,aco2,0.034723121,,,,,,9028.2,9008,7078,63901599.6,63758624,,,,,,,,,,,,,,,,,,
aco38,0.410200037,0.410200037,aco37,All-Cause Unplanned Admissions for Patients with Heart Failure,p_em_sp_vis,0.018449077,,,,,,9799.6,9889,37590,368366964,371727510,,,,,,,,,,,,,,,,,,
aco37,0.405934934,0.405934934,aco7,CAHPS: Health Status/Functional Status ,p_nurse_vis,0.014230213,,,,,,10106.8,9986,10166,102745728.8,101517676,,,,,,,,,,,,,,,,,,
aco7,-0.403234093,0.403234093,aco2,CAHPS: How Well Your Providers Communicate ,n_ben_race_hisp,0.014133545,,,,,,11192.6,10579,70550,789637930,746348450,,,,,,,,,,,,,,,,,,
aco8,0.362645856,0.362645856,p_em_sp_vis,Primary care services with a specialist ,prov_rate_1000,0.013517075,,,,,,11081.3,10741,8638,95720269.4,92780758,,,,,,,,,,,,,,,,,,
aco2,-0.359423642,0.359423642,p_nurse_vis,Primary care services with a NP/PA/CNS ,n_ben_age_85plus,0.012169201,,,,,,13089.6,13508,8683,113656996.8,117289964,,,,,,,,,,,,,,,,,,
p_em_sp_vis,0.34400427,0.34400427,n_ben_race_hisp,"Total assigned beneficiaries, Hispanic",n_ben_race_asian,0.010569981,,,,,,11122.9,11321,135350,1505484515,1532297350,,,,,,,,,,,,,,,,,,
p_nurse_vis,0.321288331,0.321288331,prov_rate_1000,Post-discharge provider visits (30 day),n_ben_race_other,0.007984835,,,,,,8706.7,8030,25614,223013413.8,205680420,,,,,,,,,,,,,,,,,,
aco3,-0.304367637,0.304367637,aco1,"CAHPS: Getting Timely Care, Appointments, and Information ",n_np,0.007640541,,,,,,12380,12376,7863,97343940,97312488,,,,,,,,,,,,,,,,,,
aco15,-0.236277654,0.236277654,n_ben_race_white,"Total assigned beneficiaries, Non-Hispanic White",aco38,0.007075344,,,,,,11342.8,12344,17970,203830116,221821680,,,,,,,,,,,,,,,,,,
n_ben_race_hisp,0.208330624,0.208330624,n_ben_male,"Total assigned beneficiaries, male",n_spec,0.006606169,,,,,,13170.6,12109,12201,160694490.6,147741909,,,,,,,,,,,,,,,,,,
prov_rate_1000,0.201423293,0.201423293,n_ben_age_0_64,"Total assigned beneficiaries, age 0-64",n_ben_race_black,0.006498195,,,,,,8309.5,8265,4845,40259527.5,40043925,,,,,,,,,,,,,,,,,,
aco27,0.180067976,0.180067976,n_ben_race_asian,"Total assigned beneficiaries, Asian",aco1,0.006401135,,,,,,10301.4,10265,5485,56503179,56303525,,,,,,,,,,,,,,,,,,
aco35,0.177585716,0.177585716,n_ben_age_75_84,"Total assigned beneficiaries, age 75-84",p_fqhc_rhc_vis,0.006360207,,,,,,8765.5,8628,11306,99102743,97548168,,,,,,,,,,,,,,,,,,
aco6,-0.148279984,0.148279984,,,n_ben_race_white,0.006254099,,,,,,10453.1,10236,12618,131897215.8,129157848,,,,,,,,,,,,,,,,,,
aco1,-0.132575698,0.132575698,,,aco36,0.005902162,,,,,,11091.2,11524,6748,74843417.6,77763952,,,,,,,,,,,,,,,,,,
aco11,-0.124872448,0.124872448,,,aco16,0.005420205,,,,,,16671.8,18199,8837,147328696.6,160824563,,,,,,,,,,,,,,,,,,
n_ben_age_65_74,-0.119379541,0.119379541,,,qualscore,0.005327222,,,,,,7950.6,7913,12289,97704923.4,97242857,,,,,,,,,,,,,,,,,,
n_ben_race_white,-0.118793937,0.118793937,,,Unnamed: 0,0.005174185,,,,,,10896.9,10558,23542,256534819.8,248556436,,,,,,,,,,,,,,,,,,
n_ben_male,-0.09915829,0.09915829,,,aco34,0.005085883,,,,,,9544,9526,25997,248115368,247647422,,,,,,,,,,,,,,,,,,
n_ben_age_0_64,-0.093269459,0.093269459,,,n_ben_race_native,0.00463567,,,,,,9258.8,9218,29846,276338144.8,275120428,,,,,,,,,,,,,,,,,,
n_ben_race_asian,0.092790971,0.092790971,,,n_ben_male,0.004442126,,,,,,9434.8,9491,31798,300007770.4,301794818,,,,,,,,,,,,,,,,,,
n_ab,-0.091477394,0.091477394,,,aco40,0.004100156,,,,,,13349.7,13033,7288,97292613.6,94984504,,,,,,,,,,,,,,,,,,
n_ben_female,-0.08566041,0.08566041,,,n_ben_age_75_84,0.004076426,,,,,,10280.4,10603,21859,224719263.6,231770977,,,,,,,,,,,,,,,,,,
n_ben_age_75_84,-0.083219517,0.083219517,,,aco37,0.003977036,,,,,,10959.4,10652,7086,77658308.4,75480072,,,,,,,,,,,,,,,,,,
met_qps,-0.08171674,0.08171674,,,n_ben_age_0_64,0.003905742,,,,,,10480.5,10206,9725,101922862.5,99253350,,,,,,,,,,,,,,,,,,
aco43,0.077936467,0.077936467,,,n_ben_age_65_74,0.003681556,,,,,,8062.5,8036,4866,39232125,39103176,,,,,,,,,,,,,,,,,,
n_fac_other,-0.07456013,0.07456013,,,n_rhc,0.003197156,,,,,,8822.1,8755,5061,44648648.1,44309055,,,,,,,,,,,,,,,,,,
aco14,-0.07197995,0.07197995,,,n_pcp,0.003042736,,,,,,8975.3,8864,13408,120340822.4,118848512,,,,,,,,,,,,,,,,,,
n_ben_race_native,-0.069479444,0.069479444,,,aco20,0.002948341,,,,,,15492.8,15574,11396,176555948.8,177481304,,,,,,,,,,,,,,,,,,
aco34,-0.068689856,0.068689856,,,n_fac_other,0.002814673,,,,,,10501.8,10363,9491,99672583.8,98355233,,,,,,,,,,,,,,,,,,
n_fqhc,-0.067398981,0.067398981,,,aco17,0.002429349,,,,,,9491,9368,5548,52656068,51973664,,,,,,,,,,,,,,,,,,
p_fqhc_rhc_vis,-0.064883116,0.064883116,,,aco42,0.002270243,,,,,,8758,8804,6254,54772532,55060216,,,,,,,,,,,,,,,,,,
aco16,0.062984839,0.062984839,,,aco15,0.002228384,,,,,,11128.7,10866,14305,159196053.5,155438130,,,,,,,,,,,,,,,,,,
aco17,-0.060670272,0.060670272,,,aco30,0.002102072,,,,,,10102.1,9915,6244,63077512.4,61909260,,,,,,,,,,,,,,,,,,
dm_comp,-0.053599842,0.053599842,,,aco4,0.002085499,,,,,,9644.5,9386,19830,191250435,186124380,,,,,,,,,,,,,,,,,,
aco40,0.05337874,0.05337874,,,n_ben_female,0.002052381,,,,,,9215.9,9168,38331,353254662.9,351418608,,,,,,,,,,,,,,,,,,
aco4,-0.053185527,0.053185527,,,n_ab,0.00203736,,,,,,9234.4,10136,5181,47843426.4,52514616,,,,,,,,,,,,,,,,,,
aco19,-0.05013953,0.05013953,,,aco3,0.002031243,,,,,,10691.1,10870,12735,136151158.5,138429450,,,,,,,,,,,,,,,,,,
py,0.048297088,0.048297088,,,aco27,0.001952177,,,,,,10405.7,9969,12478,129842324.6,124393182,,,,,,,,,,,,,,,,,,
aco20,-0.044024085,0.044024085,,,aco35,0.00190178,,,,,,8639.7,8065,8340,72055098,67262100,,,,,,,,,,,,,,,,,,
Unnamed: 0,0.043480061,0.043480061,,,aco11,0.00178305,,,,,,8351.5,8749,6049,50518223.5,52922701,,,,,,,,,,,,,,,,,,
aco41,-0.042011696,0.042011696,,,aco12,0.001676814,,,,,,9484.8,8932,14481,137349388.8,129344292,,,,,,,,,,,,,,,,,,
n_ben_race_black,0.040071542,0.040071542,,,aco41,0.001531241,,,,,,8271.5,7872,5148,42581682,40525056,,,,,,,,,,,,,,,,,,
n_eta,-0.039963764,0.039963764,,,aco5,0.001350885,,,,,,10951.7,10926,16587,181655847.9,181229562,,,,,,,,,,,,,,,,,,
n_rhc,-0.03801636,0.03801636,,,aco19,0.001325259,,,,,,9963.4,9853,8342,83114682.8,82193726,,,,,,,,,,,,,,,,,,
