,qualscore,qualperfshare,n_ab,n_ben_age_0_64,n_ben_age_65_74,n_ben_age_75_84,n_ben_age_85plus,n_ben_female,n_ben_male,n_ben_race_white,n_ben_race_black,n_ben_race_asian,n_ben_race_hisp,n_ben_race_native,n_ben_race_other,readm_rate_1000,prov_rate_1000,p_em_total,p_em_pcp_vis,p_em_sp_vis,p_nurse_vis,p_fqhc_rhc_vis,n_cah,n_fqhc,n_rhc,n_eta,n_fac_other,n_pcp,n_spec,n_np,n_pa,n_cns,py,per_capita_exp_total_py,aim,met_qps,aco1,aco2,aco3,aco4,aco5,aco6,aco7,aco34,aco8,aco35,aco36,aco37,aco38,aco11,aco13,aco14,aco15,aco16,aco17,aco18,aco19,aco20,aco42,aco40,dm_comp,aco27,aco41,aco28,aco30,aco44,aco43,aco12
220,0.916964286,0.5,34601,3077,13165,11565,6794,20074,14527,31248,1956,198,571,12,616,175.3653445,825.782881,14814.26,5145.04,8911.75,735.1453543,22.33022202,0,0,0,0,0,104,181,35,0,0,2014,12434,0,1,80.28,93.04,92.19,83.64,61,75.54,72.37,27.04,14.87,18.26,52.75,76.785,60.615,98.46,72.62,71.58,73.91,73.78,94.33,0,0,0,0,0,0,0,0,0,0,67.505,1.89,87.5
221,0.865848214,0.5,11219,1120,4082,4230,1787,6782,4437,638,198,8769,90,3,1521,169.0363349,836.7561875,14983.56,8687.35,6080.44,188.0502138,27.71362587,0,0,0,0,0,91,190,21,0,0,2014,9594,0,1,80.28,93.04,92.19,83.64,61,75.54,72.37,27.04,14.87,18.26,52.75,76.785,60.615,98.46,72.62,71.58,73.91,73.78,94.33,0,0,0,0,0,0,0,0,0,0,67.505,1.89,87.5
222,0.931361607,0.5,37174,5364,16886,10524,4400,20915,16259,35572,968,84,36,19,495,151.4906402,811.3011324,10253.07,4507.14,3842.99,1884.31,18.64089502,0,0,2,0,26,249,208,157,2,1,2014,8305,0,1,80.28,93.04,92.19,83.64,61,75.54,72.37,27.04,14.87,18.26,52.75,76.785,60.615,98.46,72.62,71.58,73.91,73.78,94.33,0,0,0,0,0,0,0,0,0,0,67.505,1.89,87.5
223,0.87265625,0.5,6850,1010,2453,2166,1221,4138,2712,4733,530,37,1439,8,103,237.9358438,777.9637378,13106.54,5686.44,6769.62,599.8417503,50.63990656,0,0,0,0,0,0,0,0,0,0,2014,18267,0,1,80.28,93.04,92.19,83.64,61,75.54,72.37,27.04,14.87,18.26,52.75,76.785,60.615,98.46,72.62,71.58,73.91,73.78,94.33,0,0,0,0,0,0,0,0,0,0,67.505,1.89,87.5
224,0.894308036,0.5,15603,1731,6863,4638,2371,9298,6305,13796,649,202,409,8,539,198.4859238,829.9030045,12210.39,4549.51,7053,603.1271304,4.750071471,0,1,0,0,5,112,382,73,5,1,2014,12672,0,1,80.28,93.04,92.19,83.64,61,75.54,72.37,27.04,14.87,18.26,52.75,76.785,60.615,98.46,72.62,71.58,73.91,73.78,94.33,0,0,0,0,0,0,0,0,0,0,67.505,1.89,87.5
225,0.94375,0.5,7078,901,3460,2037,680,3996,3082,6108,484,53,222,16,195,146.1214672,848.4666266,12309.5,6013.48,5753.99,498.2483269,43.77974824,0,0,0,0,0,22,0,2,0,0,2014,9008,0,1,80.28,93.04,92.19,83.64,61,75.54,72.37,27.04,14.87,18.26,52.75,76.785,60.615,98.46,72.62,71.58,73.91,73.78,94.33,0,0,0,0,0,0,0,0,0,0,67.505,1.89,87.5
226,0.935714286,0.5,37590,7026,16156,9564,4844,21651,15939,36406,231,132,110,21,690,157.1166505,819.3590159,9317.38,3307.19,4025.49,1978.27,6.428361383,0,0,0,0,6,302,313,149,0,0,2014,9889,0,1,80.28,93.04,92.19,83.64,61,75.54,72.37,27.04,14.87,18.26,52.75,76.785,60.615,98.46,72.62,71.58,73.91,73.78,94.33,0,0,0,0,0,0,0,0,0,0,67.505,1.89,87.5
227,0.896875,0.5,10166,1826,4669,2582,1089,5276,4890,8850,242,53,582,199,240,176.1006289,749.5375509,9572.54,2930.23,4527.99,862.9261727,1251.4,0,38,0,0,0,152,133,110,0,0,2014,9986,0,1,80.28,93.04,92.19,83.64,61,75.54,72.37,27.04,14.87,18.26,52.75,76.785,60.615,98.46,72.62,71.58,73.91,73.78,94.33,0,0,0,0,0,0,0,0,0,0,67.505,1.89,87.5
228,0.876785714,0.5,70550,8346,31766,20164,10274,40486,30064,64238,2606,1028,602,18,2058,172.1668556,834.3975652,10731.95,4167.09,6032.48,527.788289,4.599239544,0,0,0,0,8,418,839,149,9,3,2014,10579,0,1,80.28,93.04,92.19,83.64,61,75.54,72.37,27.04,14.87,18.26,52.75,76.785,60.615,98.46,72.62,71.58,73.91,73.78,94.33,0,0,0,0,0,0,0,0,0,0,67.505,1.89,87.5
229,0.854464286,0.5,8638,1008,3333,2612,1685,5096,3542,7646,507,55,239,11,180,172.7589208,809.3994778,12840.1,4314.08,7375.5,1127.56,22.97254404,0,0,0,0,0,18,12,8,0,0,2014,10741,0,1,80.28,93.04,92.19,83.64,61,75.54,72.37,27.04,14.87,18.26,52.75,76.785,60.615,98.46,72.62,71.58,73.91,73.78,94.33,0,0,0,0,0,0,0,0,0,0,67.505,1.89,87.5
