n_ben_age_0_64,n_ben_age_75_84,n_ben_male,n_ben_race_white,n_ben_race_asian,n_ben_race_hisp,readm_rate_1000,prov_rate_1000,p_em_total,p_em_pcp_vis,p_em_sp_vis,p_nurse_vis,aco1,aco2,aco7,aco36,aco37,aco38,per_capita_exp_total_py,py
3077,11565,14527,31248,198,571,175.3653445,825.782881,14814.26125,5145.037564,8911.748112,735.1453543,0,0,0,0,0,0,12434,2014
1120,4230,4437,638,8769,90,169.0363349,836.7561875,14983.55933,8687.3528,6080.442686,188.0502138,0,0,0,0,0,0,9594,2014
5364,10524,16259,35572,84,36,151.4906402,811.3011324,10253.07392,4507.135751,3842.988083,1884.309195,0,0,0,0,0,0,8305,2014
1010,2166,2712,4733,37,1439,237.9358438,777.9637378,13106.54224,5686.439507,6769.62108,599.8417503,0,0,0,0,0,0,18267,2014
1731,4638,6305,13796,202,409,198.4859238,829.9030045,12210.38858,4549.512898,7052.998483,603.1271304,0,0,0,0,0,0,12672,2014
901,2037,3082,6108,53,222,146.1214672,848.4666266,12309.50253,6013.481843,5753.992607,498.2483269,0,0,0,0,0,0,9008,2014
7026,9564,15939,36406,132,110,157.1166505,819.3590159,9317.376408,3307.186771,4025.494608,1978.266668,0,0,0,0,0,0,9889,2014
1826,2582,4890,8850,53,582,176.1006289,749.5375509,9572.540935,2930.227803,4527.985551,862.9261727,0,0,0,0,0,0,9986,2014
8346,20164,30064,64238,1028,602,172.1668556,834.3975652,10731.95316,4167.086236,6032.479392,527.788289,0,0,0,0,0,0,10579,2014
1008,2612,3542,7646,55,239,172.7589208,809.3994778,12840.10475,4314.077131,7375.495953,1127.559118,0,0,0,0,0,0,10741,2014
1530,2369,3738,6232,575,525,188.5758998,772.6917058,11548.15644,4640.250364,6725.599913,174.1059491,0,0,0,0,0,0,13508,2014
18437,38464,56033,109811,2315,2051,189.5792564,819.2514677,9810.321559,4546.848653,4464.920431,789.7042264,0,0,0,0,0,0,11321,2014
6865,6015,11689,22796,162,98,163.6915387,806.6761871,8880.256945,3356.027426,3847.121958,1673.080215,0,0,0,0,0,0,8030,2014
1431,2498,3367,5831,19,1838,184.6224678,801.5653775,12645.32149,7871.406168,4299.790904,409.6968113,0,0,0,0,0,0,12376,2014
2555,5607,7515,16785,153,171,176.6576562,805.5334711,12101.38174,5437.314112,5921.808472,718.8103163,0,0,0,0,0,0,12344,2014
2998,2738,5195,10726,70,247,201.8498368,852.8291621,12178.10571,3705.909897,7442.809507,993.7992196,0,0,0,0,0,0,12109,2014
667,1487,1947,4597,2,1,148.7138264,817.5241158,9571.125716,3610.345559,3508.797965,2427.814289,0,0,0,0,0,0,8265,2014
1095,1483,2305,5120,23,28,176.3727122,802.5513034,9960.195575,5770.76412,3760.295869,421.801542,0,0,0,0,0,0,10265,2014
